2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read brands.csv: (9, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read categories.csv: (7, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read stores.csv: (3, 7) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read staffs.csv: (10, 8) shape, 0.00MB memory, 2 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read products.csv: (321, 6) shape, 0.03MB memory, 0 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read stocks.csv: (939, 3) shape, 0.00MB memory, 1 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
